title,release_date,director,cast
Shaft,2019,Tim Story,"Samuel L. Jackson, Jessie T. Usher, Richard Roundtree, Regina Hall, Alexandra Shipp, Isaach De Bankolé"
Plus One,2019,Jeff Chan &amp; Andrew Rhymer,"Jack Quaid, Maya Erskine, Ed Begley Jr."
Outlaw King,2018,David Mackenzie,"Chris Pine, Stephen Dillane, Aaron Taylor-Johnson, Billy Howle, Tony Curran, Florence Pugh, Josie O’Brien, James Cosmo"
"Girl in the Spider's Web, The",2018,Fede Alvarez,"Claire Foy, Sverrir Gudnason, Sylvia Hoeks, Lakeith Stanfield, Stephen Merchant, Cameron Britton, Vicky Krieps"
"Grinch, The",2018,"Yarrow Cheney, Scott Mosier","Benedict Cumberbatch, Cameron Seely, Rashida Jones, Kenan Thompson, Pharrell Williams"
Boy Erased,2018,Joel Edgerton,"Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Madelyn Cline"
Can You Ever Forgive Me?,2018,Marielle Heller,"Melissa McCarthy, Richard E. Grant, Dolly Wells, Jane Curtain"
Time Trap,2018,"Ben Foster, Mark Dennis","Reiley McClendon, Brianne Howey, Cassidy Gifford, Olivia Draguicevich, Max Wright, Andrew Wilson"
Unlovable,2018,Suzi Yoonessi,"Charlene deGuzman, John Hawkes, Melissa Leo, Paul James"
"Nutcracker and the Four Realms, The",2018,"Lasse Hallstrom, Joe Johnston","Mackenzie Foy, Keira Knightley, Jayden Fowora-Knight, Helen Mirren, Morgan Freeman, Richard E. Grant, Eugenio Derbez, Matthew Macfadyen, Ellie Bamber"
Bohemian Rhapsody,2018,Bryan Singer,"Rami Malek, Lucy Boynton, Joseph Mazzello, Ben Hardy, Gwilym Lee, Allen Leech, Tom Hollander, Aidan Gillen, Mike Myers, Aaron McCusker"
Free Solo,2018,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Alex Honnold, Sanni McCandless, Jimmy Chin, Tommy Caldwell"
National Lampoon's Christmas Vacation,1989,Jeremiah Chechik,"Chevy Chase, Nicholas Guest, Johnny Galecki, Juliette Lewis, Doris Roberts, E.G. Marshall, John Randolph, Diane Ladd, Mae Questel, William Hickey, Miriam Flynn, Randy Quaid, Beverly D'Angelo, Julia Louis-Dreyfus"
Balzac and the Little Chinese Seamstress,,Dai Sijie,"Chen Kun, Liu Ye, Zhou Xun, Wang Shuanbao, Cong Zhijun"
Revolutionary Road,2008,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Kathy Bates, Kathryn Hahn, David Harbour, Zoe Kazan"
Mighty Aphrodite,1995,Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter, Peter Weller, Michael Rapaport"
Autumn in New York,2000,Joan Chen,"Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch, Vera Farmiga"
"Brady Bunch Movie, The",1995,Betty Thomas,"Shelly Long, Michael McKean, Henrietta Mantel, Jesse Lee, Olivia Hack, Paul Sutera, Jennifer Elise Cox, Christopher Daniel Barns, Christine Taylor, Gary Cole, Jean Smart"
Atonement,2007,Joe Wright,"Keira Knightley, James McAvoy, Romola Garai, Vanessa Redgrave, Saoirse Ronan, Harriet Walter, Brenda Blethyn"
Under the Same Moon,2008,Patricia Riggen,"Kate del Castillo, Engenio Derbez, Adrian Alonso, Gabriel Porras, Maya Zapata, Ernesto D'Alessio, America Ferrera"
"Polar Express, The",2004,Robert Zemeckis,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye, Peter Scolari, Michael Jeter"
Bee Season,2005,"Scott McGehee, David Siegel","Richard Gere, Juliette Binoche, Flora Cross, Max Minghella, Kate Bosworth"
"Intruder, The",2019,Deon Taylor,"Dennis Quaid, Meagan Good, Michael Ealy, Joseph Sikora, Alvina August"
Long Shot,2019,Jonathan Levine,"Charlize Theron, Seth Rogen, June Diane Raphael, O’Shea Jackson Jr., Ravi Patel, Bob Odenkirk, Andy Serkis, Alexander Skarsgård"
Oliver!,,Carol Reed,
Stalker,1982,Andrei Tarkovsky,"Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko"
JT LeRoy,2019,Justin Kelly,"Kristen Stewart, Laura Dern, Jim Sturgess, Diane Kruger, Courtney Love, Stella Maxwell, Kelvin Harrison Jr."
Avengers: Endgame,2019,"Joe Russo, Anthony Russo","Robert Downey Jr., Jeremy Renner, Paul Rudd, Brie Larson, Bradley Cooper, Scarlett Johansson, Josh Brolin, Karen Gillan, Mark Ruffalo, Chris Hemsworth, Chris Evans, Don Cheadle"
"Last Hour, The",2017,Eduardo Mendoza de Echave,"Pietro Sibille, Nidia Bermejo, Katerina D’Onofrio, Miguel Vargas, Tono Vega"
"Curse of La Llorona, The",2019,Michael Chaves,"Linda Cardellini, Roman Christou, Jaynee-Lynne Kinchen, Raymond Cruz, Sean Patrick Thomas, Patricia Velasquez, Marisol Ramirez, Tony Amendola"
Under the Silver Lake,2019,David Robert Mitchell,"Andrew Garfield, Riley Keough Riki Lindhome, Callie Hernandez, Topher Grace, Grace Van Patten"
Red Joan,2019,Trevor Nunn,"Judi Dench, Sophie Cookson, Stephen Campbell Moore, Tom Hughes, Tereza Srbova, Ben Miles"
Beastly,2011,Daniel Barnz,"Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, Lisa Gay Hamilton, Neil Patrick Harris"
"Adjustment Bureau, The",2011,George Nolfi,"Matt Damon, Emily Blunt, Anthony Mackie, John Slattery, Terence Stamp, Michael Kelly"
Drive Angry,2011,Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke, David Morse, Charlotte Ross"
Hall Pass,2011,"Bobby Farrelly, Peter Farrelly","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate, Nicky Whelan, Richard Jenkins"
I Am Number Four,2011,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron, Callan McAuliffe, Kevin Durand, Jake Abel"
Unknown,2011,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch"
Just Go with It,2011,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Nicole Kidman, Brooklyn Decker, Nick Swardson"
Cedar Rapids,2011,Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr., Stephen Root, Kurtwood Smith, Alia Shawkat, Sigourney Weaver"
Behind the Mask,2007,Scott Glosserman,"Nathan Baesel, Angela Goethals, Robert Englund, Scott Wilson, Zelda Rubinstein, Bridgett Newton, Kate Lang Johnson, Ben Pace, Britain Spellings"
Sanctum,2011,Alister Grierson,"Richard Roxburgh, Ioan Gruffudd, Rhys Wakefield, Alice Parkinson, Dan Wyllie"
Perfect Stranger,2007,James Foley,"Bruce Willis, Halle Berry, Giovanni Ribisi, Gary Dourdan, Nicki Aycox"
This Film Is Not Yet Rated,2006,Kirby Dick,"Kirby Dick, Mary Harron, David Ansen, Allison Anders, Atom Egoyan, Maria Bello, Wayne Kramer, Matt Stone, Kevin Smith, John Waters, Kimberly Peirce, Richard Heffner"
Turistas,2006,John Stockwell,"Josh Duhamel, Melissa George, Olivia Wilde, Desmond Askew, Beau Garrett, Max Brown"
Flash of Genius,2008,Marc Abraham,"Greg Kinnear, Lauren Graham, Dermot Mulroney, Alan Alda"
Talk to Her,2002,Pedro Almodovar,"Javier Camara, Dario Grandinetti, Leonor Watling, Rosario Flores, Mariola Fuentes, Geraldine Chaplin"
Rosewood,1997,John Singleton,"Jon Voight, Robert Patrick, Elise Neal, Michael Rooker, Ester Rolle, Loren Dean, Bruce McGill, Don Cheadle, Ving Rhames, Catherine Kellner"
Carrington,1995,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell"
"Civil Action, A",1998,Steven Zaillian,"John Travolta, Stephen Fry, Kathleen Quinlan, John Lithgow, Bruce Norris, James Gandolfini, Zeljko Ivanek, William H. Macy, Tony Shalhoub, Robert Duvall, Dan Hedaya"
"Reaping, The",2007,Stephen Hopkins,"Hilary Swank, David Morrissey, Idris Elba, AnnaSophia Robb, Stephen Rea"
"Proposition, The",2006,John Hillcoat,"Guy Pearce, Ray Winstone, Danny Huston, Richard Wilson, Emily Watson, John Hurt, David Wenham"
"Mummy, The",1999,Stephen Sommers,"Brendan Fraser, John Hannah, Rachel Weisz, Arnold Vosloo, Stephen Dunham, Jonathan Hyde, Corey Johnson, Kevin J. O'Connor, Tuc Watkins"
Stop-Loss,2008,Kimberly Peirce,"Ryan Phillippe, Channing Tatum, Abbie Cornish, Joseph Gordon-Levitt, Victor Rasuk, Ciaran Hinds, Linda Emond, Timothy Olyphant"
"Heart of the Game, The",2006,Ward Serrill,"Bill Resler, Darnellia Russell, Joyce Walker"
Robots,2005,"Chris Wedge, Carlos Saldanha","(voices) Ewan McGregor, Stanley Tucci, Jennifer Coolidge, Drew Carey, Amanda Bynes, Jim Broadbent, Mel Brooks, Greg Kinnear, Halle Berry, Robin Williams, Dianne Wiest"
Gran Torino,2008,Clint Eastwood,"Clint Eastwood, Bee Vang, Ahney Her, Christopher Carley"
Two Weeks Notice,2002,Marc Lawrence,"Sandra Bullock, Hugh Grant, Alicia Witt, Robert Klein, Dana Ivey"
Anastasia,1997,"Don Bluth, Gary Goldman","(voices) Meg Ryan, John Cusack, Kelsey Grammer, Angela Lansbury, Christopher Lloyd, Hank Azaria, Bernadette Peters, Kirsten Dunst"
Alien,1979,Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Yaphet Kotto"
"Bridges of Madison County, The",1996,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie"
Hollywoodland,2006,Allen Coulter,"Adrien Brody, Diane Lane, Ben Affleck, Bob Hoskins, Robin Tunney, Joe Spano, Molly Parker, Caroline Dhavernas"
"Stepfather, The",1987,Joseph Ruben,"Terry O’Quinn, Jill Schoelen, Shelley Hack, Charles Lanyer, Stephen Shellen"
Pacific Rim Uprising,2018,Steven S. DeKnight,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman, Charlie Day, Rinko Kikuchi, Jing Tian, Max Zhang"
Unsane,2018,Steven Soderbergh,"Claire Foy, Joshua Leonard, Amy Irving, Jay Pharoah, Juno Temple"
Madame,2018,Amanda Sthers,"Toni Collette, Harvey Keitel, Rossy De Palma, Michael Smiley, Tom Hughes"
I Kill Giants,2018,Anders Walter,"Madison Wolfe, Imogen Poots, Zoe Saldana, Sydney Wade, Rory Jackson, Jennifer Ehle, Noel Clarke"
Castle in the Sky,1987,Hayao Miyazaki,"Anna Paquin, James Van Der Beek, Cloris Leachman, Mark Hamill, Richard Dysart, Jim Cummings"
Allure,2018,"Carlos Sanchez, Jason Sanchez","Evan Rachel Wood, Julia Sarah Stone, Denis O’Hare"
"Death of Stalin, The",2018,Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Michael Palin, Adrian McLoughlin, Olga Kurylenko, Andrea Riseborough, Jason Isaacs, Paddy Considine"
Tomb Raider,2018,Roar Uthaug,"Alicia Vikander, Dominic West, Daniel Wu, Kristin Scott Thomas, Derek Jacobi, Walton Goggins"
"Love, Simon",2018,Greg Berlanti,"Nick Robinson, Josh Duhamel, Jennifer Garner, Katherine Langford, Alexandra Shipp, Jorge Lendeborg Jr., Talitha Bateman, Keiynan Lonsdale, Logan Miller"
"African Queen, The",,John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley"
"Mountain Between Us, The",2017,Hany Abu-Assad,"Idris Elba, Kate Winslet"
"Florida Project, The",2017,Sean Baker,"Willem Dafoe, Brooklynn Prince, Bria Vinaite, Valeria Cotto, Christopher Rivera, Caleb Landry Jones, Mela Murder"
"Osiris Child, The",2017,Shane Abbess,"Daniel MacPherson, Kellan Lutz, Teagan Croft, Temeura Morrison, Rachel Griffiths, Isabel Lucas, Luke Ford"
Blade Runner 2049,2017,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas, Robin Wright, Jared Leto, Sylvia Hoeks, Mackenzie Davis, Dave Bautista, Carla Juri"
Flatliners,2017,Niels Arden Oplev,"Ellen Page, Diego Luna, Nina Dobrev, James Norton, Kiersey Clemons, Kiefer Sutherland"
Battle of the Sexes,2017,Jonathan Dayton &amp; Valerie Faris,"Emma Stone, Steve Carell, Andrea Riseborough, Natalie Morales, Sarah Silverman, Bill Pullman, Elisabeth Shue, Jessie McNamee, Austin Stowell"
Realive,2017,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward"
Mark Felt,2017,Peter Landesman,"Liam Neeson, Diane Lane, Maika Monroe, Josh Lucas, Eddie Marsan, Marton Csokas, Bruce Greenwood, Tom Sizemore, Tony Goldwyn"
American Made,2017,Doug Liman,"Tom Cruise, Sarah Wright, Domhnall Gleeson, Caleb Landry Jones, Alejandro Edda, Mauricio Mejia"
"Expendables, The",2010,Sylvester Stallone,"Sylvester Stallone, Mickey Rourke, Terry Crews, Giselle Itie, David Zayas, Steve Austin, Randy Couture, Eric Roberts, Dolph Lundgren, Jet Li, Jason Statham, Bruce Willis"
Eat Pray Love,2010,Ryan Murphy,"Julia Roberts, Billy Crudup, Viola Davis, James Franco, Welker White, Luca Argentero, Richard Jenkins, Javier Bardem"
Scott Pilgrim vs. the World,2010,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brandon Routh, Alison Pill, Jason Schwartzman, Ellen Wong"
Cairo Time,2010,Rubba Nada,"Patricia Clarkson, Alexander Siddig"
"Other Guys, The",2010,Adam McKay ,"Will Ferrell, Mark Wahlberg, Eva Mendes, Samuel L. Jackson, Dwayne Johnson, Michael Keaton, Steve Coogan, Ray Stevenson"
"Lost Weekend, The",,Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling"
Charlie St. Cloud,2010,Burr Steers,"Zac Efron, Charlie Tahan, Amanda Crew, Donal Logue, Kim Basinger, Ray Liotta"
Countdown to Zero,2010,Lucy Walker,"Valerie Plame Wilson, Tony Blair, Jimmy Carter, Mikhail Gorbachev, Robert McNamara, Pervez Musharraf, F.W. De Klerk"
Dinner for Schmucks,2010,Jay Roach,"Steve Carell, Paul Rudd, Stephanie Szostak, Jermaine Clement, Zach Galifianakis, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston"
"Kids Are All Right, The",2010,Lisa Cholodenko,"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson"
From Here to Eternity,,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober, Ernest Borgnine, Jack Warden"
My Neighbor Totoro,1993,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto, Tanie Kitabayashi"
Sicario: Day of the Soldado,2018,Stefano Sollima,"Benicio Del Toro, Josh Brolin, Isabela Moner, Jeffrey Donovan, Catherine Keener, Manuel Garcia-Rulfo, Matthew Modine, Shea Whigham, Elijah Rodriguez"
Izzy Gets the F*ck Across Town,2018,Christian Papierniak,"Mackenzie Davis, Carrie Coon, Alex Russell, Haley Joel Osment, Alia Shawkat, Annie Potts, Sarah Goldberg, Lauren Miller, Keith Stanfield"
Beach House,2018,Jason Saltiel,"Willa Fitzgerald, Murray Bartlett, Orlagh Cassidy, Tom Hammond"
Jurassic World: Fallen Kingdom,2018,J.A. Bayona,"Chris Pratt, BD Wong, Ted Levine, James Cromwell, Daniella Pineda, Justice Smith, Rafe Spall, Jeff Goldblum, Bryce Dallas Howard, Isabella Sermon"
Dark Passage,,Delmer Daves,"Humphrey Bogart, Lauren Bacall, Agnes Moorehead, Clifton Young, Houseley Stevenson"
Tag,2018,Jeff Tomsic,"Ed Helms, Jon Hamm, Jake Johnson, Hannibal Buress, Isla Fisher, Jeremy Renner, Rashida Jones, Leslie Bibb"
Incredibles 2,2018,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Catherine Keener, Bob Odenkirk, Samuel L. Jackson"
"Valley, The",2018,Salia Kariat,"Alyy Khan, Suchitra Pillai, Agneeta Thacker, Salma Khan, Jake T. Austin"
"Kite Runner, The",2007,Marc Forster,"Khalid Abdalla, Homayon Ershadi, Zekeria Ebrahimi, Ahmad Khan Mahmidzada, Shaun Toub, Nabi Tahna, Ali Dinesh, Atossa Leoni"
Manon des Sources,1987,Claude Berri,"Yves Montand, Daniel Auteuil, Elisabeth Depardieu, Margarita Lozano, Emmanuelle Béart, Hippolyte Girardot"
Just Friends,2005,Roger Kumble,"Ryan Reynolds, Amy Smart, Chris Klein, Anna Farris"
Guess Who,2005,Kevin Rodney Sullivan,"Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott, Kellee Stewart"
Blade,1998,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'bushe Wright, Donal Logue, Udo Kier, Traci Lords"
One Fine Day,1996,Michael Hoffman,"Michelle Pfeiffer, George Clooney, Mae Whitman, Alex D. Linz, Charles Durning, Ellen Greene"
Forgotten Silver,,Peter Jackson and Costa Botes,"Jeffrey Thomas (narrator), Peter Jackson, Costa Botes, Sam Neill, Leonard Maltin, Harvey Weinstein, John O'Shea, Linday Shelton"
"Lust, Caution",2007,Ang Lee,"Tang Wei, Tony Leung Chiu Wai, Joan Chen, Wang Lee-Hom"
Four Rooms,1995,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Tim Roth, Paul Calderon, Quentin Tarantino, Marisa Tomei, Tamlyn Tomita, Antonio Banderas, David Proval, Jennifer Beals, Amanda De Cadenet, Alicia Witt, Lili Taylor, Sammi Davis, Ione Skye, Madonna, Valeria Golino, Bruce Willis"
Bewitched,2005,Nora Ephron,"Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine, Jason Schwartzman, Kristin Chenoweth"
"Electrical Life of Louis Wain, The",2021,Will Sharpe,"Benedict Cumberbatch, Claire Foy, Andrea Riseborough, Toby Jones"
Dune: Part One,2021,Denis Villeneuve,"Timothee Chalamet, Rebecca Ferguson, Oscar Isaac, Zendaya, Jason Momoa, Josh Brolin, Javier Bardem, Stellan Skarsgård, Dave Bautista, Charlotte Rampling"
"Last Duel, The",2021,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer, Ben Affleck, Harriet Walter, Alex Lawther"
Halloween Kills,2021,David Gordon Green,"Jamie Lee Curtis, Kyle Richards, Charles Cyphers, Anthony Michael Hall, Robert Longstreet, Dylan Arnold, Will Patton, James Jude Courtney, Andi Matichak, Judy Greer, Nancy Stephens"
Lamb,2021,Valdimar Johannsson,"Noomi Rapace, Hilmir Snaer Guonason, Bjorn Hlynur Haraldsson"
No Time to Die,2021,Cary Joji Fukunaga,"Daniel Craig, Jeffrey Wright, Lea Seydoux, Rami Malek, Ralph Fiennes, Naomie Harris, Lashana Lynch, Ben Whishaw, Christoph Waltz, Ana de Armas, Billy Magnussen, Rory Kinnear, David Dencik"
"Many Saints of Newark, The",2021,Alan Taylor,"Alessandro Nivola, John Magaro, Billy Magnussen, Michael Gandolfini, Giuseppina Moltisanti, Ray Liotta, Corey Stoll, Jon Bernthal, Vera Farmiga, Leslie Odom Jr., Michael Imperioli"
Venom: Let There Be Carnage,2021,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris, Reid Scott, Stephen Graham"
"Addams Family 2, The",2021,"Greg Tiernan, Conrad Vernon","Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Nick Kroll, Javon Walton, Snoop Dogg, Bette Midler, Bill Hader, Wallace Shawn"
Dear Evan Hansen,2021,Stephen Chbosky,"Ben Platt, Julianne Moore, Kaitlyn Dever, Amy Adams, Danny Pino, Amandla Stenberg, Colton Ryan"
Jimmy Hollywood,1994,Barry Levinson,"Joe Pesci, Christian Slater, Victoria Abril"
Mulan,1998,"Tony Bancroft, Barry Cook","(voices) Ming-Na Wen, Eddie Murphy, B.D. Wong, Miguel Ferrer, Harvey Fierstein, Pat"
"Advocate, The",,Leslie Magahey,"Colin Firth, Ian Holm, Nicol Williamson, Amina Annabi, Donald Pleasance, Jim Carter, Lysette Anthony"
Martian Child,2007,Menno Meyjes,"John Cusack, Bobby Coleman, Amanda Peet, Sophie Okonedo, Joan Cusack, Oliver Platt"
"Wicker Man, The",,Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland, Ingrid Pitt"
Austin Powers: International Man of Mystery,1997,Jay Roach,"Mike Myers, Elizabeth Hurley, Robert Wagner, Michael York, Fabiana Udenio, Mimi Rogers"
"Women, The",2008,Diane English,"Meg Ryan, Annette Bening, Eva Mendes, Debra Messing, Jada Pinkett Smith, Bette Midler, Candice Bergen"
Fly Away Home,1996,Carroll Ballard," Anna Paquin"" href=""https://www.reelviews.net/search/actor/anna-paquin"", Jeff Daniels, Dana Delany, Terry Kinney, Holter Graham, Jeremy Ratchford"
Priest,1995,Antonia Bird,"Linus Roache, Tom Wilkinson, Cathy Tyson, Robert Carlyle, Christine Tremarco, Robert Pugh, Lesley Sharp, James Ellis"
