name,NetWorth_billions,Country,Source,Rank,Age,Industry,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Li Ka-shing,33.7,Hong Kong,diversified,43,92,Diversified,1950,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Len Blavatnik,32,United States,"music, chemicals",46,63,Diversified,1990,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Lee Shau Kee,31.7,Hong Kong,real estate,47,93,Real Estate,1976,founder/chairman,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Jacqueline Mars,31.3,United States,"candy, pet food",48,81,Food & Beverage,1911,relation,new,female,North America,inherited,Traded Sectors,Consumer,3rd generation
John Mars,31.3,United States,"candy, pet food",48,85,Food & Beverage,1911,relation,new,male,North America,inherited,Traded Sectors,Consumer,3rd generation
Hui Ka Yan,27.7,China,real estate,53,62,Real Estate,1997,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Susanne Klatten,27.7,Germany,"BMW, pharmaceuticals",53,58,Automotive,1916,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
Vladimir Potanin,27,Russia,metals,55,60,Metals & Mining,1991,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Dietrich Mateschitz,26.9,Austria,Red Bull,56,76,Food & Beverage,1984,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Pang Kang,26.4,China,soy sauce,57,65,Food & Beverage,1720,chairman,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Klaus-Michael Kuehne,26.3,Germany,shipping,58,83,Logistics,1890,relation,new,male,Europe,inherited,Traded Sectors,Other,3rd generation
Vladimir Lisin,26.2,Russia,"steel, transport",59,64,Metals & Mining,1992,owner,aquired,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Takemitsu Takizaki,25.8,Japan,sensors,62,75,Manufacturing,1974,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Leonard Lauder,25.5,United States,Estee Lauder,64,88,Fashion & Retail,1946,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Thomas Peterffy,25,United States,discount brokerage,65,76,Finance & Investments,1977,"founder, chairman, ceo",new,male,North America,self-made finance,Financial,Money Management,not inherited
Vagit Alekperov,24.9,Russia,oil,66,70,Energy,1990,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Leonid Mikhelson,24.9,Russia,"gas, chemicals",66,65,Energy,1994,chairman of management committee,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Gina Rinehart,23.6,Australia,mining,70,67,Metals & Mining,1955,relation,new,female,North America,inherited,Resource Related,Mining and metals,father
Shiv Nadar,23.5,India,software services,71,75,Technology,1976,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Zhang Zhidong,23.4,China,internet media,73,49,Technology,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Lei Jun,23,China,smartphones,75,51,Technology,2010,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Gennady Timchenko,22,Russia,"oil, gas",78,68,Energy,2000,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Stephen Schwarzman,21.9,United States,investments,79,74,Finance & Investments,1985,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Goh Cheng Liang,21.7,Singapore,paints,80,93,Manufacturing,1962,chairman,joint venture,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Stefan Quandt,21.6,Germany,BMW,81,54,Automotive,1916,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Pierre Omidyar,21.4,United States,"eBay, PayPal",83,53,Technology,1995,founder and chairman,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Stefan Persson,21.3,Sweden,H&M,84,73,Fashion & Retail,1947,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Abigail Johnson,20.9,United States,money management,85,59,Finance & Investments,1946,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
Andrew Forrest,20.4,Australia,mining,87,59,Metals & Mining,2003,Chairman,new,male,North America,privatized and resources,Resource Related,Mining and metals,not inherited
Ray Dalio,20.3,United States,hedge funds,88,71,Finance & Investments,1975,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Michael Hartono,19.7,Indonesia,"banking, tobacco",89,81,Manufacturing,1951,relation,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Li Shufu,19.7,China,automobiles,89,57,Automotive,1986,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Emmanuel Besnier,19.1,France,cheese,94,50,Food & Beverage,1933,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Eric Schmidt,18.9,United States,Google,96,65,Technology,1998,executive chairman,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Sun Piaoyang,18.9,China,pharmaceuticals,96,62,Healthcare,1970,chairman,new,male,East Asia,executive,New Sectors,Technology-Medical,not inherited
Alisher Usmanov,18.4,Russia,"steel, telecom, investments",99,67,Metals & Mining,1999,founder,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Robert Pera,18.3,United States,wireless networking gear,100,43,Technology,2005,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Wu Yajun,18.3,China,real estate,100,57,Real Estate,1995,founder,new,female,East Asia,privatized and resources,Financial,Real Estate,not inherited
Dhanin Chearavanont,18.1,Thailand,diversified,103,81,Diversified,1921,relation,new,male,East Asia,inherited,Traded Sectors,Consumer,father
Peter Woo,18,Hong Kong,real estate,104,74,Real Estate,1955,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Chen Bang,17.9,China,hospitals,105,55,Healthcare,0,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Andrey Melnichenko,17.9,Russia,"coal, fertilizers",105,49,Energy,1993,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Dustin Moskovitz,17.8,United States,Facebook,107,36,Technology,2004,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Donald Newhouse,17.6,United States,media,109,91,Media & Entertainment,1909,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Petr Kellner,17.5,Czechia,"finance, telecommunications",110,56,Finance & Investments,1991,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Lee Man Tat,17.4,Hong Kong,food,111,91,Food & Beverage,1888,relation,new,male,East Asia,inherited,Traded Sectors,Consumer,3rd generation
James Ratcliffe,17,United Kingdom,chemicals,113,68,Manufacturing,1998,founder,new,male,Europe,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Wang Chuanfu,16.3,China,"batteries, automobiles",118,55,Automotive,1995,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Steve Cohen,16,United States,hedge funds,119,64,Finance & Investments,1992,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Ken Griffin,16,United States,hedge funds,119,52,Finance & Investments,1990,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Uday Kotak,15.9,India,banking,121,62,Finance & Investments,1985,founder,new,male,South Asia,self-made finance,Financial,Money Management,not inherited
Carl Icahn,15.8,United States,investments,124,85,Finance & Investments,1968,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Mikhail Fridman,15.5,Russia,"oil, banking, telecom",128,56,Energy,1989,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Donald Bren,15.3,United States,real estate,132,88,Real Estate,1864,owner,aquired,male,North America,self-made finance,Financial,Real Estate,not inherited
Lakshmi Mittal,14.9,India,steel,133,70,Metals & Mining,1989,founder,new,male,South Asia,inherited,Resource Related,Non-consumer industrial,father
Georg Schaeffler,14.9,Germany,auto parts,133,56,Automotive,1946,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Wang Jianlin,14.8,China,real estate,137,66,Real Estate,1988,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Robin Li,14.7,China,internet search,138,52,Technology,2000,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Pallonji Mistry,14.6,Ireland,construction,140,91,Construction & Engineering,1865,Relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Eduardo Saverin,14.6,Brazil,Facebook,140,39,Technology,2004,founder,new,male,Latin America,founder non-finance,New Sectors,Technology-Computer,not inherited
Roman Abramovich,14.5,Russia,"steel, investments",142,54,Diversified,1988,founder,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
David Tepper,14.5,United States,hedge funds,142,63,Finance & Investments,1993,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
"John Menard, Jr.",14.2,United States,home improvement stores,145,81,Fashion & Retail,1972,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Liang Wengen,14.1,China,construction equipment,148,64,Manufacturing,1989,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Finn Rausing,13.9,Sweden,packaging,151,66,Food & Beverage,1951,relation,new,male,Europe,inherited,0,Other,3rd generation
Jorn Rausing,13.9,Sweden,packaging,151,61,Food & Beverage,1951,relation,new,male,Europe,inherited,0,Other,3rd generation
Kirsten Rausing,13.9,Sweden,packaging,151,68,Food & Beverage,1951,relation,new,female,Europe,inherited,Traded Sectors,Consumer,3rd generation
Joseph Lau,13.6,Hong Kong,real estate,155,69,Real Estate,1978,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
David Duffield,13.5,United States,business software,156,80,Technology,1987,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Charoen Sirivadhanabhakdi,13.5,Thailand,"alcohol, real estate",156,76,Food & Beverage,1941,founder,privatization,male,East Asia,privatized and resources,Traded Sectors,Consumer,not inherited
Robert & Philip Ng,13.3,Singapore,real estate,158,69,Real Estate,1970,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Anders Holch Povlsen,13.2,Denmark,fashion retail,161,48,Fashion & Retail,1975,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Wang Wenyin,13.2,China,"mining, copper products",161,53,Metals & Mining,1994,owner,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Michael Platt,13,United Kingdom,hedge funds,164,53,Finance & Investments,2000,founder,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
Kumar Birla,12.8,India,commodities,168,53,Diversified,1857,relation,new,male,South Asia,inherited,Resource Related,Mining and metals,4th generation
Cyrus Poonawalla,12.7,India,vaccines,169,79,Healthcare,1966,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Robert Kuok,12.6,Malaysia,"palm oil, shipping, property",171,97,Diversified,1971,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Hank & Doug Meijer,12.6,United States,supermarkets,171,66,Fashion & Retail,1934,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Jack Dorsey,12.5,United States,"Twitter, Square",173,44,Technology,2006,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
John Doerr,12.4,United States,venture capital,177,69,Technology,1972,employee,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Gordon Moore,12.1,United States,Intel,182,92,Technology,1968,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Patrick Drahi,11.8,France,telecom,186,57,Telecom,1994,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Joseph Tsai,11.6,Canada,e-commerce,189,57,Technology,1999,founder/vice chairman,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Aliko Dangote,11.5,Nigeria,"cement, sugar",191,63,Manufacturing,1981,founder and CEO,new,male,Sub-Saharan Africa,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Marcel Herrmann Telles,11.5,Brazil,beer,191,71,Food & Beverage,1885,founder,aquired,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Mikhail Prokhorov,11.4,Russia,investments,193,55,Finance & Investments,1993,owner,privatization,male,Europe,privatized and resources,Financial,Diversified financial,not inherited
Viktor Rashnikov,11.2,Russia,steel,195,72,Manufacturing,1925,general director,privatization,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Harry Triguboff,11.2,Australia,real estate,195,88,Real Estate,1968,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Eyal Ofer,11.1,Israel,"real estate, shipping",197,70,Diversified,1950,relation,new,male,Middle East/North Africa,inherited,Financial,Real Estate,father
Luis Carlos Sarmiento,11,Colombia,banking,200,88,Finance & Investments,1971,founder,aquired,male,Latin America,self-made finance,Financial,Money Management,not inherited
Dilip Shanghvi,10.9,India,pharmaceuticals,203,65,Healthcare,1983,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Anthony Pratt,10.8,Australia,manufacturing,205,60,Manufacturing,1948,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Wang Laisheng,10.8,China,electronics components,205,56,Technology,2004,owner,new,male,East Asia,executive,New Sectors,Technology-Computer,not inherited
Wang Laichun,10.7,China,electronics components,208,53,Technology,2004,chairwomen,new,female,East Asia,executive,New Sectors,Technology-Computer,not inherited
Chen Jianhua,10.6,China,chemicals,210,50,Manufacturing,2002,chairman,new,male,East Asia,executive,Traded Sectors,Non-consumer industrial,not inherited
Charles Schwab,10.6,United States,discount brokerage,210,83,Finance & Investments,1971,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Cai Kui,10.4,China,real estate,216,58,Real Estate,1995,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
John Fredriksen,10.4,Cyprus,shipping,216,76,Logistics,1985,founder,aquired,male,Europe,founder non-finance,Traded Sectors,Other,not inherited
"Chase Coleman, III.",10.3,United States,investments,219,45,Finance & Investments,2000,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Hui Wing Mau,10.3,Hong Kong,real estate,219,70,Real Estate,1988,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
"Edward Johnson, III.",10.3,United States,money management,219,90,Finance & Investments,1946,relation,new,male,North America,inherited,Financial,Money Management,father
Philip Anschutz,10.1,United States,investments,224,81,Finance & Investments,1961,investor,aquired,male,North America,self-made finance,Financial,Diversified financial,not inherited
German Khan,10.1,Russia,"oil, banking, telecom",224,59,Energy,1989,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Jan Koum,9.9,United States,WhatsApp,230,45,Technology,2009,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
James Dyson,9.7,United Kingdom,vacuums,234,73,Manufacturing,1993,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Friedhelm Loh,9.7,Germany,manufacturing,234,74,Manufacturing,1961,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Iskander Makhmudov,9.7,Russia,"mining, metals, machinery",234,57,Metals & Mining,1999,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Stefano Pessina,9.7,Italy,drugstores,234,79,Fashion & Retail,1849,relation,aquired,male,Europe,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Quek Leng Chan,9.7,Malaysia,"banking, property",234,79,Diversified,1963,founder,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
Israel Englander,9.6,United States,hedge funds,241,72,Finance & Investments,1989,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Charles Ergen,9.6,United States,satellite TV,241,68,Media & Entertainment,1980,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Jim Pattison,9.6,Canada,diversified,241,92,Diversified,1961,founder CEO owner,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
David Geffen,9.5,United States,"movies, record labels",245,78,Media & Entertainment,1970,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Jim Kennedy,9.4,United States,"media, automotive",247,73,Media & Entertainment,1898,relation,aquired,male,North America,inherited,Non-Traded Sectors,Media,3rd generation
Blair Parry-Okeden,9.4,United States,"media, automotive",247,70,Media & Entertainment,1898,relation,aquired,female,North America,inherited,Non-Traded Sectors,Media,3rd generation
Ding Shijia,9.3,China,sports apparel,251,57,Fashion & Retail,1994,deputy chairman,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Ian & Richard Livingstone,9.3,United Kingdom,real estate,251,58,Real Estate,1987,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Sun Hongbin,9.3,United States,real estate,251,58,Real Estate,1994,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Lu Xiangyang,9.1,China,"automobiles, batteries",256,58,Automotive,1995,vice chairman,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
David Sun,9.1,United States,computer hardware,256,69,Technology,1987,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
John Tu,9.1,United States,computer hardware,256,79,Technology,1987,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Viktor Vekselberg,9,Russia,"metals, energy",262,63,Energy,1990,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Jerry Jones,8.9,United States,Dallas Cowboys,264,78,Sports,1970,founder,new,male,North America,founder non-finance,0,Other,not inherited
Michael Otto,8.9,Germany,"retail, real estate",264,77,Fashion & Retail,1949,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Steven Rales,8.9,United States,manufacturing,264,70,Manufacturing,1979,founder,new,male,North America,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
David Cheriton,8.8,Canada,Google,269,70,Technology,1998,investor,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Xavier Niel,8.8,France,"internet, telecom",269,53,Telecom,1999,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
August von Finck,8.8,Germany,investments,269,91,Finance & Investments,1890,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Zong Qinghou,8.8,China,beverages,269,75,Food & Beverage,1987,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Benu Gopal Bangur,8.7,India,cement,274,89,Manufacturing,1918,relation,new,male,South Asia,inherited,Non-Traded Sectors,Constrution,father
Graeme Hart,8.7,New Zealand,investments,274,65,Finance & Investments,1987,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Kjeld Kirk Kristiansen,8.7,Denmark,Lego,274,73,Manufacturing,1949,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Shigenobu Nagamori,8.7,Japan,motors,274,76,Manufacturing,1973,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Ernesto Bertarelli,8.6,Switzerland,"biotech, investments",288,55,Healthcare,1906,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Leon Black,8.6,United States,private equity,288,69,Finance & Investments,1990,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Azim Premji,8.6,India,software services,288,75,Technology,1945,relation,new,male,South Asia,inherited,New Sectors,Technology-Computer,father
George Soros,8.6,United States,hedge funds,288,90,Finance & Investments,1969,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Marc Benioff,8.4,United States,business software,294,56,Technology,1999,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Ann Walton Kroenke,8.4,United States,Walmart,294,72,Fashion & Retail,1962,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Jay Y. Lee,8.3,South Korea,Samsung,297,52,Diversified,1938,relation,new,male,East Asia,inherited,New Sectors,Technology-Computer,3rd generation
Nassef Sawiris,8.3,Egypt,"construction, investments",297,60,Construction & Engineering,1950,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Kushal Pal Singh,8.3,India,real estate,297,89,Real Estate,1946,relation and chairman,new,male,South Asia,inherited,Financial,Real Estate,father
Stanley Kroenke,8.2,United States,"sports, real estate",304,73,Sports,1991,founder,new,male,North America,founder non-finance,0,Other,not inherited
Niels Peter Louis-Hansen,8.2,Denmark,medical devices,304,73,Healthcare,1957,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,father
Diane Hendricks,8,United States,roofing,308,74,Construction & Engineering,1982,founder,new,female,North America,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Shahid Khan,8,United States,auto parts,308,70,Automotive,1956,owner,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
Andrew Beal,7.9,United States,"banks, real estate",311,68,Finance & Investments,1988,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Alexei Kuzmichev,7.8,Russia,"oil, banking, telecom",316,58,Energy,1989,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
John Malone,7.8,United States,cable television,316,80,Media & Entertainment,1968,CEO,merger,male,North America,executive,Non-Traded Sectors,Media,not inherited
Giorgio Armani,7.7,Italy,luxury goods,323,86,Fashion & Retail,1975,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Frederik Paulsen,7.7,Sweden,health care,323,70,Healthcare,1950,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,father
Alexander Abramov,7.6,Russia,"steel, mining",327,62,Metals & Mining,1992,Chairman,aquired,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Rinat Akhmetov,7.6,Ukraine,"steel, coal",327,54,Metals & Mining,2000,founder,,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
George Roberts,7.6,United States,private equity,327,77,Finance & Investments,1976,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Nancy Walton Laurie,7.5,United States,Walmart,334,69,Fashion & Retail,1962,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Patrick Soon-Shiong,7.5,United States,pharmaceuticals,334,68,Healthcare,1997,founder,new,male,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
George Lucas,7.4,United States,Star Wars,339,76,Media & Entertainment,1971,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Zhang Jindong,7.4,China,appliance retailer,339,58,Fashion & Retail,1990,founder/president,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Henry Kravis,7.3,United States,private equity,344,77,Finance & Investments,1976,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Sandra Ortega Mera,7.3,Spain,Zara,344,52,Fashion & Retail,1975,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
Pham Nhat Vuong,7.3,Vietnam,diversified,344,52,Diversified,1993,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
David Shaw,7.3,United States,hedge funds,344,70,Finance & Investments,1988,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Michael Kadoorie,7.2,Hong Kong,"hotels, energy",352,79,Energy,1901,relation,new,male,East Asia,inherited,Financial,Diversified financial,father
Bernard Marcus,7.2,United States,Home Depot,352,91,Fashion & Retail,1979,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Manuel Villar,7.2,Philippines,real estate,352,71,Real Estate,1975,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Christy Walton,7.2,United States,Walmart,352,72,Fashion & Retail,1962,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Carl Bennet,7.1,Sweden,investments,358,69,Finance & Investments,1989,investor,new,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Rahel Blocher,7.1,Switzerland,chemicals,358,45,Manufacturing,1936,relation,aquired,female,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Johann Graf,7.1,Austria,gambling,358,74,Gambling & Casinos,1980,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Ralph Lauren,7.1,United States,apparel,358,81,Fashion & Retail,1967,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
