Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Monsters vs. Aliens,PS2,2009,Action,0.11,0,0,0.08
Manhunt 2,Wii,2007,Action,0.25,0.23,0,0.06
Tiny Tank,PS,1998,Action,0.19,0.13,0,0.02
Fritz Chess,DS,2009,Strategy,0.02,0,0,0
Shin Sangoku Musou Online: Souten Ranbu,PS3,2010,Action,0,0,0.02,0
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Action,0.18,0.14,0,0.03
Tornado Outbreak,Wii,2009,Action,0.1,0,0,0.01
SD Gundam G Generation World,Wii,2011,Strategy,0,0,0.05,0
Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007,Action,0,0,0.06,0
The Legend of Zelda: Spirit Tracks,DS,2009,Action,1.43,0.94,0.74,0.27
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,2015,Action,0,0,0.02,0
The Penguins of Madagascar,DS,2010,Action,0.13,0.12,0,0.02
Dragonseeds,PS,1998,Action,0.03,0.02,0.04,0.01
Indiana Jones and the Staff of Kings,DS,2009,Action,0.17,0.07,0,0.02
Rocky: Legends,PS2,2004,Action,0.13,0.1,0,0.03
Top Gun: Hard Lock,PS3,2012,Action,0,0.03,0,0.01
Sphinx and the Cursed Mummy,PS2,2003,Action,0.22,0.17,0,0.06
Romance of the Three Kingdoms VII,PS2,2000,Strategy,0.08,0.06,0.16,0.02
Curious George,PS2,2006,Action,0.06,0.05,0,0.02
Angelique Duet,PS,1998,Strategy,0,0,0.04,0
Happy Feet Two,DS,,Action,0.09,0.02,0,0.01
Fatal Frame 2: Wii Edition,Wii,2012,Action,0,0,0.1,0
History Great Empires: Rome,DS,2009,Strategy,0.05,0,0,0
Pirates of the Caribbean: At World's End,PS2,2007,Action,0.2,0.16,0,0.05
Ridge Racer V,PS2,2000,Action,0.24,0.19,0.75,0.06
Thrillville: Off the Rails,DS,2007,Strategy,0.03,0.01,0,0
Kung Fu Panda,PS2,2008,Action,0.24,0,0,0.41
Fritz Chess,PS3,2009,Strategy,0,0.03,0,0.01
Frogger 2: Swampy's Revenge,PS,1999,Action,0.8,0.54,0,0.09
Grand Theft Auto: Vice City Stories,PS2,2007,Action,0.78,0.03,0.03,0.13
Dragon Ball: Origins,DS,2008,Action,0.09,0.03,0,0.01
Dino Master: Dig Discover Duel,DS,2005,Strategy,0.06,0,0,0
Kamen Rider: Battride War,PS3,2013,Action,0,0,0.19,0
Zoo Tycoon 2 DS,DS,2008,Strategy,0.24,0.03,0,0.02
Broken Helix,PS,1997,Action,0.03,0.02,0,0
Rogue Ops,PS2,2003,Action,0.11,0.09,0,0.03
Warriors Orochi,PS2,2007,Action,0.11,0.09,0.64,0.03
Housekeeping,DS,,Action,0,0,0.04,0
Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,2011,Action,0,0,0.03,0
Army Men: Air Attack,PS,1999,Action,0.47,0.32,0,0.06
Pro Evolution Soccer 2012,PS2,2011,Action,0,0,0.06,0
Bully: Scholarship Edition,Wii,2008,Action,0.17,0.29,0,0.06
Sengoku Musou 3: Moushouden,Wii,2011,Action,0,0,0.08,0
Elebits,Wii,2006,Action,0.22,0.01,0.08,0.02
LEGO The Hobbit,PS3,2014,Action,0.12,0.32,0,0.1
The Saboteur,PS3,2009,Action,0.2,0.22,0,0.08
Warriors Orochi 2,PS2,2008,Action,0.06,0.05,0,0.02
Worms: Battle Islands,Wii,2010,Strategy,0.11,0.1,0,0.02
The Amazing Spider-Man (Console Version),PS3,2012,Action,0.31,0.37,0,0.14
Monsters vs. Aliens,PS3,2009,Action,0.21,0.06,0,0.03
Moshi Monsters: Katsuma Unleashed,DS,2013,Action,0,0.13,0,0.02
The Da Vinci Code,PS2,2006,Action,0.07,0.05,0,0.02
Tom Clancy's HAWX 2,PS3,2010,Action,0.21,0.12,0.03,0.05
Legacy of Kain: Defiance,PS2,2003,Action,0.26,0.2,0,0.07
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,0,0,0.59,0
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010,Action,0,0,0.04,0
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,1.46,0,0.83,1.93
NCAA Football 13,PS3,2012,Action,0.82,0,0,0.06
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,0.85,0.66,0,0.22
Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,Strategy,0,0,0.02,0
Gladius,PS2,2003,Strategy,0.1,0.08,0,0.03
Penguins of Madagascar,Wii,2014,Action,0,0.02,0,0
Happy Feet,DS,2006,Action,0.27,0.01,0,0.02
Cy Girls,PS2,2004,Action,0.02,0.01,0,0
The Adventures of Darwin,PS2,2006,Strategy,0.01,0,0.03,0
Spider-Man: Web of Shadows,PS3,2008,Action,unknown,0.04,0,0.03
The Golden Compass,PS3,2007,Action,0.14,0.1,0,0.05
Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009,Action,0,0,0.03,0
Mass Effect Trilogy,PS3,2012,Action,0.37,0,0,0.04
Zoey 101: Field Trip Fiasco,DS,2007,Action,0.02,0,0,0
The Destiny of Zorro,Wii,2009,Action,0.1,0,0,0.01
Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003,Action,0,0,0.24,0
Green Lantern: Rise of the Manhunters,DS,2011,Action,0.08,0.02,0,0.01
Astro Boy: The Video Game,Wii,2009,Action,0.1,0,0,0.01
Sid Meier's Civilization Revolution,DS,2008,Strategy,0.38,0.03,0.02,0.04
Akiba's Trip: Undead & Undressed,PS3,2013,Action,0.05,0.01,0.04,0.01
Resident Evil 5,PS3,2009,Action,1.96,1.43,1.08,0.65
How to Train Your Dragon,Wii,2010,Action,0.24,0.15,0,0.04
Resident Evil Outbreak File #2,PS2,2004,Action,unknown,0.15,0.17,0.05
Samurai Warriors 3,Wii,2009,Action,0.1,0.02,0.32,0.01
Super Robot Taisen α Gaiden,PS,2001,Strategy,0,0,0.58,0.04
Kamen Rider Battle: Ganbaride,DS,2010,Strategy,0,0,0.14,0
Front Mission 2089: Border of Madness,DS,2008,Strategy,0,0,0.05,0
Ultimate Spider-Man,PS2,2005,Action,0.6,0.02,0,0.1
Tomb Raider: Legend,PS2,2006,Action,0.25,0.19,0.02,0.06
Mega Man X6,PS,2001,Action,0.14,0.1,0.16,0.03
Dark Void,PS3,2010,Action,0.18,0.12,0,0.06
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,0,0,0.13,0
Palais de Reine,PS2,2007,Strategy,0,0,0.01,0
Garfield: Lasagna World Tour,PS2,2007,Action,0.08,0.06,0,0.02
Guinness World Records: The Videogame,DS,2008,Action,unknown,0.01,0,0.04
Sengoku Basara: Sanada Yukimura-Den,PS3,2016,Action,0,0,0.02,0
Star Wars: The Force Unleashed,PS3,2008,Action,1.01,0.9,0,0.37
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,0,0,0.33,0
God of War II,PS2,2007,Action,2.32,0.04,0.04,1.67
Tak and the Guardians of Gross,PS2,2008,Action,0.14,0.11,0,0.04
Kurupoto Cool Cool Stars,DS,2007,Action,0.06,0,0,0
Siren: Blood Curse,PS3,2008,Action,0,0.17,0.09,0.02
Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,DS,2009,Action,0,0,0.04,0
Candace Kane's Candy Factory,DS,2008,Action,0.04,0,0,0
LEGO Harry Potter: Years 1-4,PS3,2010,Action,0.55,0.6,0,0.22
MySims SkyHeroes,DS,2010,Action,0.22,0.08,0,0.03
Tsukigime Ranko's Longest Day,PS3,2014,Action,0,0.01,0,0
SD Gundam G Generation Neo,PS2,2002,Strategy,0,0,0.57,0
The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,0.14,0.02,0,0.02
Dynasty Tactics,PS2,2002,Strategy,0.06,0.05,0.16,0.02
McFarlane's Evil Prophecy,PS2,,Action,0.03,0.03,0,0.01
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Action,0,0,0.21,0
Barbie: Groom and Glam Pups,DS,2010,Action,0.26,0.14,0,0.04
Ice Age: Dawn of the Dinosaurs,DS,2009,Action,0.2,0.15,0,0.04
Super Sentai Battle: Ranger Cross,Wii,2011,Action,0,0,0.08,0
Arcade Hits: Frisky Tom,PS,2002,Action,0.16,0.11,0,0.02
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,0.25,0,0.31,0.02
Chaotic: Shadow Warriors,Wii,2009,Action,0.18,0,0,0.01
Brutal Legend,PS3,2009,Action,0.54,0.28,0,0.13
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,0.22,0.17,0,0.06
Resident Evil: Outbreak,PS2,2003,Action,0.54,0.35,0.46,0.1
Romance of the Three Kingdoms XI,PS2,2007,Strategy,0,0,0.07,0
Tokyo Jungle,PS3,2012,Action,0,0,0.26,0
Grid Runner,PS,1996,Action,0.02,0.01,0,0
Mini Ninjas,Wii,2009,Action,0.17,0.17,0,0.04
LEGO Batman: The Videogame,DS,2008,Action,1.79,1.06,0,0.29
Disney Infinity 3.0,PS3,2015,Action,0.14,0.25,0,0.08
The Lord of the Rings: Aragorn's Quest,DS,2010,Action,0.1,0.02,0,0.01
Constantine,PS2,2005,Action,0.05,0.04,0,0.01
Ojyousama Express,PS,1998,Strategy,0,0,0.06,0
Tears to Tiara: Garland of the Earth,PS3,2008,Strategy,0,0,0.08,0
Manhunt 2,PS2,2007,Action,0.27,0.21,0,0.07
Catan,DS,2009,Strategy,0,0.02,0,0
Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,0.17,0,0,0.01
Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,Action,0.03,0,0,0
Transformers: Dark of the Moon,PS3,2011,Action,0.11,0.19,0,0.07
Katekyoo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,DS,2008,Action,0,0,0.02,0
Worms: Open Warfare,DS,2006,Strategy,0.05,0.03,0,0.01
Tornado Outbreak,PS3,2009,Action,0.08,0,0,0.01
TRON: Evolution,PS3,2010,Action,0.27,0.1,0,0.05
Need for Speed: The Run,PS3,2011,Action,0.58,1.06,0.03,0.37
Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010,Action,0.06,0.01,0,0.01
Yes! PreCure 5,DS,2007,Action,0,0,0.04,0
The Last Airbender,Wii,2010,Action,0.12,0.07,0,0.02
Around the World in 80 Days,DS,2010,Action,0,0.14,0,0.02
Dynasty Warriors: Gundam,PS2,2008,Action,0,0,0.28,0
Tenchu: Fatal Shadows,PS2,2004,Action,0.09,0.07,0,0.02
Ultimate Card Games DS,DS,2008,Strategy,0.08,0,0,0.01
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,PS3,2015,Action,0,0,0.02,0
Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,0.19,0.13,0,0.02
DmC: Devil May Cry,PS3,2013,Action,0.24,0.28,0.19,0.12
Skylanders Giants,Wii,2012,Action,1.56,0.88,0,0.22
LEGO Marvel Super Heroes,DS,2013,Action,0.28,0.17,0,0.04
Dynasty Warriors 5 Empires,PS2,2006,Action,0.11,0.09,0.12,0.03
Astro Boy: The Video Game,PS2,2009,Action,0.05,0.04,0,0.01
NBA 2K11,PS2,2010,Action,0.34,0.01,0,0.06
"Princess Natasha: Student, Secret Agent, Princess",DS,2006,Action,0.03,0,0,0
Dragon Quest Monsters: Battle Road Victory,Wii,2010,Strategy,0,0,0.32,0
Prince of Persia: The Fallen King,DS,2008,Action,0.06,0.01,0,0.01
Star Trek: Conquest,Wii,2007,Strategy,0.11,0.01,0,0.01
Tomb Raider: Underworld,PS2,2009,Action,0.09,0.04,0,0.05
The Golden Compass,DS,2007,Action,0.28,0.25,0,0.06
Shrek the Third,DS,,Action,0.26,0.02,0,0.02
Spider-Man: Edge of Time,PS3,2011,Action,0.13,0.07,0,0.03
Rise of the Kasai,PS2,2005,Action,0.09,0.07,0,0.02
Assassin's Creed III,PS3,2012,Action,2.64,2.56,0.16,1.14
SD Gundam G Century,PS,1997,Strategy,0,0,0.27,0.02
Chicken Shoot,Wii,2007,Action,0.33,0.01,0,0.02
Tom Clancy's Splinter Cell Trilogy,PS3,2011,Action,0,0.1,0,0.03
The Suffering: Ties That Bind,PS2,2005,Action,0.09,0.07,0,0.02
Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,0.19,0.19,0,0.07
Chicken Riot,Wii,2010,Action,0.15,0.16,0,0.03
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,0,0,0.6,0
The IdolM@ster: Gravure For You! Vol. 6,PS3,2012,Action,0,0,0.03,0
The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,0.17,0.05,0,0.02
Mobile Suit Gundam 00: Gundam Meisters,PS2,2008,Action,0,0,0.06,0
The Lost World: Jurassic Park,PS,1997,Action,0.57,0.39,0,0.07
Ghostbusters: The Video Game,Wii,2009,Action,0.6,0.21,0,0.08
Master of Monsters: Disciples of Gaia,PS,1997,Strategy,0.02,0.01,0,0
Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,0,0,0.14,0.01
Secrets of the Titanic,DS,2012,Action,0,0.02,0,0
Nobunaga no Yabou: Tendou,PS3,2010,Strategy,0,0,0.13,0
Panzer General,PS,1995,Strategy,0.14,0.09,0,0.02
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,0.14,0.04,0.06,0.02
Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009,Action,0,0,0.24,0
The Chase: Felix Meets Felicity,DS,2009,Action,0.04,0,0,0
Bakugan: Battle Brawlers,PS3,2009,Action,0.19,0.03,0,0.02
Metal Gear Rising: Revengeance,PS3,2013,Action,0.45,0.4,0.44,0.18
Murdered: Soul Suspect,PS3,2014,Action,0.05,0.06,0.02,0.02
Devil May Cry HD Collection,PS3,2012,Action,0.42,0.21,0.11,0.1
Samurai Warriors 4: Empires,PS3,2015,Action,0,0,0.06,0
Wedding Dash,DS,2009,Action,0.2,0,0,0.01
Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008,Strategy,0,0,0.03,0
Yes! Precure 5 Go Go Zenin Shu Go! Dream Festival,DS,2008,Action,0,0,0.02,0
Fighting Force 2,PS,1999,Action,0.31,0.21,0,0.04
Mary-Kate and Ashley: Crush Course,PS,2001,Action,0.08,0.05,0,0.01
Under the Skin,PS2,2004,Action,0.01,0.01,0,0
Shining Force Feather,DS,2009,Strategy,0,0,0.06,0
Silent Hill HD Collection,PS3,2012,Action,0.15,0.11,0.03,0.05
Young Justice: Legacy,Wii,2013,Action,0,0.03,0,0
NBA 2K11,PS3,2010,Action,1.41,0.21,0.03,0.16
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS,2011,Action,0.07,0.03,0,0.01
Tak: Mojo Mistake,DS,2008,Action,0.16,0,0,0.01
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011,Strategy,0,0,0.03,0
SD Gundam: Scad Hammers,Wii,2006,Strategy,0,0,0.05,0
Tom Clancy's EndWar,DS,2008,Strategy,0.08,0.01,0,0.01
Extermination,PS2,2001,Action,0.21,0.16,0.12,0.05
Big Bass Fishing,PS,2002,Action,0,0,0.02,0
Vandal Hearts II,PS,1999,Strategy,0.06,0.04,0,0.01
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono,PS2,2007,Strategy,0,0,0.01,0
Up,PS2,2009,Action,0.19,0.05,0,0.24
Kung Fu Panda 2,PS3,2011,Action,0.04,0.04,0,0.02
Saints Row 2,PS3,2008,Action,0.88,0.54,0.02,0.25
Hannah Montana: Spotlight World Tour,PS2,2008,Action,0.12,0.02,0,0.14
Resident Evil: The Darkside Chronicles,Wii,2009,Action,0.48,0.32,0.2,0.09
Romance of the Three Kingdoms 13,PS3,2015,Action,0,0,0.04,0
LEGO Battles: Ninjago,DS,2011,Strategy,1.07,0.36,0,0.12
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,0.71,1.02,0,0.31
Pet in TV,PS,1997,Strategy,0,0,0.38,0.03
Strike Witches 2: Iyasu Naosu Punipunisuru,DS,2010,Action,0,0,0.02,0
Dynasty Warriors: Gundam 2,PS3,2008,Action,0.09,0.07,0.32,0.03
Bee Movie Game,PS2,2007,Action,0.05,0.04,0,0.01
Dead Rising 2: Off the Record,PS3,2011,Action,0.11,0.08,0.1,0.03
Harry Potter and the Order of the Phoenix,PS3,2007,Action,0.18,0.04,0,0.03
SpongeBob SquarePants: SuperSponge,PS,2001,Action,1.12,0.58,0,0.08
WWE '13,Wii,2012,Action,0.12,0.02,0,0.01
Blast Radius,PS,1998,Action,0.04,0.03,0,0
Conan,PS3,2007,Action,0.13,0.15,0,0.06
Samurai Warriors 2,PS2,2006,Action,0.02,0.02,0.57,0.01
Ben 10 Alien Force: Vilgax Attacks,DS,2009,Action,0.22,0.16,0,0.04
Dynasty Warriors: Gundam 3,PS3,2010,Action,0.11,0.05,0.36,0.02
The Tomb Raider Trilogy,PS3,2011,Action,0.27,0.5,0,0.17
Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,2007,Action,0,0,0.02,0
Power Rangers Samurai,Wii,2011,Action,0.29,0.03,0,0.02
LEGO Dimensions,PS3,2015,Action,0.15,0.3,0,0.09
Looney Tunes: Duck Amuck,DS,2007,Action,0.28,0,0,0.02
Sleeping Dogs,PS3,2012,Action,0.31,0.5,0.05,0.19
Dragon Blade: Wrath of Fire,Wii,2007,Action,0.17,0,0,0.01
Planet 51,PS3,2009,Action,0.07,0.03,0,0.02
Mobile Suit Gundam version 2.0,PS,1996,Action,0,0,0.36,0.02
Disney Infinity,Wii,2013,Action,1.15,0.44,0,0.14
Bakugan: Battle Trainer,DS,2010,Action,0.12,0,0,0.01
WCW Backstage Assault,PS,1999,Action,0.12,0.08,0,0.01
Jewel Link: Galactic Quest,DS,2012,Action,0,0.02,0,0
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,1.06,0.82,0.05,0.28
The Godfather II,PS3,2009,Action,0.41,0.22,0.01,0.11
Project: Snowblind,PS2,2005,Action,0.1,0.08,0,0.03
Burger Island,Wii,2009,Action,0.14,0,0,0.01
Fast & Furious: Showdown,PS3,2013,Action,0,0.03,0,0
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,0,0,0.05,0
Kabu Trader Shun,DS,2007,Action,0,0,0.03,0
Timmy Time,DS,2011,Action,0,0.03,0,0
Destroy All Humans! 2,PS2,2006,Action,0.4,0.02,0,0.07
True Crime: New York City,PS2,2005,Action,0.57,0.02,0.07,0.09
Wild 9,PS,1998,Action,0.13,0.09,0,0.02
Haunting Ground,PS2,2005,Action,0.03,0.03,0,0.01
Monkey Hero,PS,1998,Action,0.04,0.03,0,0
Sengoku Musou 3 Z,PS3,2011,Action,0,0,0.33,0
Soul Eater: Plot of Medusa,DS,2008,Action,0,0,0.05,0
Monster High: New Ghoul in School,Wii,2015,Action,0,0.03,0,0
Saints Row: The Third,PS3,2011,Action,0.86,1.06,0.18,0.39
LEGO Harry Potter: Years 1-4,Wii,2010,Action,1.29,0.97,0,0.23
Green Lantern: Rise of the Manhunters,PS3,2011,Action,0.09,0.05,0,0.03
Houshinengi,PS,1998,Strategy,0,0,0.13,0.01
Tornado,DS,,Action,0.07,0,0,0
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,DS,2005,Action,0,0,0.19,0
Transformers: Dark of the Moon,Wii,2011,Action,0.1,0.07,0,0.02
Sengoku Basara 2 Heroes,Wii,2007,Action,0,0,0.01,0
Nobunaga's Ambition: Rise to Power,PS2,2004,Strategy,0,0,0.08,0
Killer is Dead,PS3,2013,Action,0.12,0.04,0.05,0.02
Nightmare Creatures II,PS,2000,Action,0.09,0.06,0,0.01
Mushroom Men: Rise of the Fungi,DS,2008,Action,0.1,0,0,0.01
One Piece: Pirate Warriors 3,PS3,2015,Action,0,0.09,0.19,0.01
Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,0.17,0.13,0,0.03
Up,PS3,2009,Action,0.15,0.07,0,0.03
[Prototype],PS3,2009,Action,0.65,0.41,0,0.19
Battle of Giants: Dragons,DS,2009,Strategy,0.31,0.25,0,0.06
G.I. Joe: The Rise of Cobra,PS2,2009,Action,0.11,0,0,0.03
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013,Strategy,0,0,0.07,0
Sid Meier's Pirates!,Wii,2010,Strategy,0.13,0.02,0,0.01
Romance of the Three Kingdoms X,PS2,2005,Strategy,0.04,0.03,0,0.01
Yakuza 4,PS3,,Action,0.15,0.14,0.63,0.05
Dollar Dash,PS2,2005,Action,1.3,0.23,0,0.07
The Lord of the Rings: War in the North,PS3,,Action,0.25,0.45,0.01,0.15
The Suffering,PS2,2004,Action,0.2,0.16,0,0.05
Prince of Persia: The Forgotten Sands,DS,2010,Action,0.14,0.01,0,0.01
Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,0,0,0.03,0
Escape Dead Island,PS3,2014,Action,0.03,0.04,0,0.01
Fire Emblem: Radiant Dawn,Wii,2007,Strategy,0.28,0.03,0.17,0.03
Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,0.11,0.14,0,0.03
Resident Evil 2,PS,1998,Action,1.88,1.47,2.02,0.45
Silent Hill: Homecoming,PS3,,Action,0.18,0.15,0,0.06
G-Force,PS3,2009,Action,0.13,0.06,0,0.03
Enter the Matrix,PS2,2003,Action,1.78,1.12,0.09,0.19
Bladestorm: The Hundred Years' War,PS3,2007,Action,0.1,0.03,0.14,0.02
Elements of Destruction,DS,2007,Strategy,0.07,0,0,0.01
Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Strategy,0.03,0.02,0,0
El Shaddai: Ascension of the Metatron,PS3,2011,Action,0.11,0.07,0.08,0.03
Skylanders: Trap Team,PS3,2014,Action,0.24,0.33,0,0.12
Yogi Bear: The Video Game,DS,2010,Action,0.1,0.03,0,0.01
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,2.63,1.74,0.83,0.83
State of Emergency,PS2,2002,Action,0.86,0.67,0,0.22
Daniel X: The Ultimate Power,DS,2010,Action,0.07,0,0,0.01
Nobunaga no Yabou DS 2,DS,2008,Strategy,0,0,0.03,0
Harry Potter and the Half-Blood Prince,PS3,2009,Action,0.15,0.13,0,0.06
Civilization II,PS,1998,Strategy,0.15,0.11,0,0.02
Island Xtreme Stunts,PS2,2002,Action,0.04,0.03,0,0.01
FIFA Soccer 13,PS3,2012,Action,1.06,5.05,0.13,2.01
